Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q26,Q22,Q23,Q24,Q25
Sometimes,Not sure what a password manager is,Not confident,"No, never",Very confident,Report it to IT,Sometimes,Rarely,Occasionally,Rarely,"Yes, manually",Confident,Occasionally,Helpful,Rarely,Simulations,Not effective,"Yes, always",Somewhat relevant,"Yes, significantly",Sometimes,Rarely,Neutral,Useful,Neutral
Sometimes,Not sure what a password manager is,Very confident,"Yes, recently",Not confident,Consult a colleague,Always,Never,Occasionally,Monthly,"Yes, automatically",Not confident,Never,Helpful,Never,Videos,Not effective,"Yes, always",Not relevant,"Yes, significantly",Never,Rarely,"Yes, highly effective",Very useful,"Yes, significantly"
Often,Not sure what a password manager is,Not confident,"Yes, recently",Neutral,Open and read carefully,Rarely,Sometimes,Rarely,Never,Sometimes,Very confident,Not sure,Neutral,Sometimes,Videos,Not effective,Sometimes,Neutral,No,Never,Rarely,Neutral,Neutral,"Yes, significantly"
Sometimes,Not sure what a password manager is,Very confident,"Yes, recently",Not confident,Open and read carefully,Sometimes,"Yes, always","No, never",Occasionally,Never,Very confident,"Yes, frequently",Very helpful,Most of the time,Simulations,Effective,No,Not relevant,"Yes, significantly",Rarely,Sometimes,Effective,Very useful,"Yes, somewhat"
Often,Yes,Confident,"Yes, recently",Somewhat confident,Open and read carefully,Always,Never,"No, never",Monthly,"Yes, automatically",Confident,Not sure,Very helpful,Most of the time,Videos,Neutral,"Yes, always",Somewhat relevant,Somewhat,Rarely,Rarely,Neutral,Useful,Neutral
Never,No,Not confident,"Yes, recently",Somewhat confident,Delete it immediately,Never,Rarely,"No, never",Rarely,"Yes, manually",Not confident,"Yes, frequently",Helpful,Sometimes,Videos,Very effective,No,Very relevant,No,Never,Rarely,Effective,Neutral,"Yes, somewhat"
Never,No,Confident,"Yes, recently",Not confident,Consult a colleague,Often,"Yes, always",Occasionally,Never,Rarely,Confident,Occasionally,Not very helpful,Most of the time,Simulations,Neutral,Sometimes,Not relevant,Neutral,"Yes, frequently",No,Effective,Useful,"Yes, somewhat"
Often,Yes,Confident,"Yes, recently",Very confident,Consult a colleague,Never,Sometimes,"No, never",Occasionally,Rarely,Neutral,Never,Helpful,Never,Quizzes,Not effective,No,Neutral,"Yes, significantly","Yes, frequently",Rarely,Neutral,Useful,Neutral
Sometimes,No,Not confident at all,"No, never",Not confident,Consult a colleague,Never,Most of the time,"No, never",Never,"Yes, automatically",Not confident,Occasionally,Not very helpful,Most of the time,Live training sessions,Neutral,"Yes, always",Somewhat relevant,"Yes, significantly","Yes, frequently",Sometimes,Neutral,Not useful,"Yes, significantly"
Often,Yes,Not confident at all,"Yes, recently",Neutral,Consult a colleague,Often,Most of the time,"No, never",Every week,"Yes, manually",Neutral,"Yes, frequently",Neutral,Most of the time,Videos,Effective,Sometimes,Neutral,Neutral,Rarely,Rarely,Effective,Useful,Neutral
Often,Yes,Confident,Not sure,Neutral,Open and read carefully,Rarely,Most of the time,Occasionally,Never,Rarely,Confident,Occasionally,Neutral,Sometimes,Quizzes,Neutral,Rarely,Not relevant,Neutral,Rarely,Sometimes,Effective,Useful,Neutral
Often,No,Not confident,Not sure,Not confident,Consult a colleague,Often,Sometimes,Occasionally,Occasionally,Rarely,Very confident,Not sure,Helpful,Always,Quizzes,Not effective,Sometimes,Neutral,Neutral,Sometimes,Sometimes,Effective,Useful,"Yes, significantly"
Never,No,Not confident,Not sure,Neutral,Consult a colleague,Always,Sometimes,Rarely,Every week,"Yes, automatically",Confident,Occasionally,Not very helpful,Most of the time,Videos,Neutral,Sometimes,Somewhat relevant,Neutral,Rarely,No,Neutral,Useful,Neutral
Often,Not sure what a password manager is,Confident,"Yes, but a long time ago",Very confident,Open and read carefully,Never,"Yes, always",Rarely,Occasionally,Rarely,Neutral,"Yes, frequently",Not helpful at all,Most of the time,Quizzes,Effective,No,Not relevant,Neutral,"Yes, frequently",Sometimes,Neutral,Not useful,"Yes, somewhat"
Never,No,Not confident,"Yes, recently",Neutral,Open and read carefully,Rarely,Rarely,"No, never",Occasionally,"Yes, automatically",Not confident,Rarely,Helpful,Always,Quizzes,Not effective,No,Neutral,Neutral,Never,No,Effective,Neutral,No
Often,No,Neutral,"No, never",Somewhat confident,Consult a colleague,Often,Most of the time,Occasionally,Occasionally,Sometimes,Confident,"Yes, frequently",Not very helpful,Sometimes,Simulations,Not effective,"Yes, always",Neutral,"Yes, significantly",Rarely,Sometimes,Effective,Very useful,No
Sometimes,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Report it to IT,Rarely,Sometimes,"No, never",Monthly,Never,Very confident,"Yes, frequently",Not very helpful,Never,Live training sessions,Very effective,"Yes, always",Somewhat relevant,"Yes, significantly","Yes, frequently",Rarely,Neutral,Neutral,No
Always,Yes,Very confident,"Yes, recently",Not confident,Consult a colleague,Sometimes,Sometimes,Rarely,Never,Never,Neutral,Never,Very helpful,Rarely,Quizzes,Not effective,Rarely,Somewhat relevant,"Yes, significantly",Rarely,Rarely,Effective,Useful,No
Often,No,Neutral,"No, never",Not confident,Consult a colleague,Never,Most of the time,Occasionally,Occasionally,"Yes, automatically",Very confident,Never,Not helpful at all,Most of the time,Quizzes,Effective,Rarely,Neutral,"Yes, significantly",Rarely,Rarely,Effective,Useful,"Yes, significantly"
Rarely,Yes,Very confident,"Yes, recently",Neutral,Report it to IT,Sometimes,Sometimes,"Yes, frequently",Rarely,Never,Confident,Rarely,Neutral,Sometimes,Simulations,Very effective,No,Neutral,"Yes, significantly","Yes, frequently",Rarely,Not effective,Not useful,Neutral
Never,Not sure what a password manager is,Very confident,"Yes, recently",Neutral,Open and read carefully,Never,Sometimes,"Yes, frequently",Never,"Yes, automatically",Neutral,"Yes, frequently",Helpful,Most of the time,Quizzes,Very effective,"Yes, always",Neutral,"Yes, significantly","Yes, frequently",Sometimes,Effective,Neutral,Neutral
Sometimes,No,Confident,Not sure,Very confident,Open and read carefully,Sometimes,Sometimes,Occasionally,Monthly,"Yes, manually",Confident,Not sure,Not very helpful,Sometimes,Simulations,Neutral,No,Somewhat relevant,Neutral,Rarely,Sometimes,Effective,Useful,"Yes, significantly"
Always,Yes,Not confident,"Yes, recently",Not confident,Open and read carefully,Never,Most of the time,"Yes, frequently",Every week,Never,Confident,Never,Not very helpful,Sometimes,Quizzes,Neutral,"Yes, always",Very relevant,Somewhat,Sometimes,"Yes, always",Neutral,Useful,"Yes, somewhat"
Rarely,Yes,Not confident,Not sure,Very confident,Open and read carefully,Rarely,Rarely,"Yes, frequently",Every week,"Yes, automatically",Very confident,Not sure,Neutral,Never,Quizzes,Very effective,No,Very relevant,Neutral,Sometimes,Rarely,Not effective,Neutral,"Yes, somewhat"
Rarely,Yes,Neutral,"Yes, recently",Very confident,Delete it immediately,Always,Most of the time,"Yes, frequently",Never,Never,Not confident,Rarely,Very helpful,Sometimes,Quizzes,Effective,Sometimes,Somewhat relevant,Neutral,Rarely,Sometimes,Not effective,Not useful,"Yes, significantly"
Sometimes,Yes,Not confident at all,"Yes, recently",Neutral,Consult a colleague,Sometimes,Rarely,"No, never",Every week,"Yes, automatically",Very confident,"Yes, frequently",Not helpful at all,Always,Videos,Neutral,Rarely,Somewhat relevant,Neutral,Rarely,No,Effective,Very useful,No
Often,No,Confident,Not sure,Very confident,Delete it immediately,Rarely,Rarely,"Yes, frequently",Monthly,"Yes, automatically",Confident,Never,Not helpful at all,Sometimes,Live training sessions,Not effective,Rarely,Somewhat relevant,Somewhat,"Yes, frequently",No,Neutral,Useful,"Yes, significantly"
Sometimes,No,Neutral,Not sure,Somewhat confident,Consult a colleague,Rarely,Rarely,Occasionally,Never,Sometimes,Confident,"Yes, frequently",Not helpful at all,Always,Videos,Very effective,No,Not relevant,Somewhat,"Yes, frequently",No,Neutral,Very useful,"Yes, significantly"
Often,Not sure what a password manager is,Confident,Not sure,Neutral,Open and read carefully,Always,"Yes, always","Yes, frequently",Occasionally,Never,Not confident,Rarely,Helpful,Always,Quizzes,Effective,No,Neutral,Somewhat,"Yes, frequently",No,"Yes, highly effective",Very useful,"Yes, somewhat"
Never,No,Neutral,"Yes, recently",Very confident,Delete it immediately,Often,Sometimes,Occasionally,Occasionally,Rarely,Neutral,Occasionally,Very helpful,Never,Live training sessions,Effective,Sometimes,Not relevant,Neutral,Never,Rarely,Not effective,Not useful,"Yes, somewhat"
Never,Not sure what a password manager is,Very confident,Not sure,Neutral,Consult a colleague,Always,Sometimes,Rarely,Every week,Never,Neutral,Not sure,Neutral,Always,Simulations,Effective,"Yes, always",Very relevant,Neutral,"Yes, frequently",No,Not effective,Very useful,"Yes, somewhat"
Always,Not sure what a password manager is,Very confident,"Yes, but a long time ago",Not confident,Consult a colleague,Never,Sometimes,Rarely,Every week,Rarely,Very confident,"Yes, frequently",Helpful,Sometimes,Quizzes,Neutral,Rarely,Somewhat relevant,"Yes, significantly",Rarely,"Yes, always",Neutral,Very useful,No
Sometimes,Not sure what a password manager is,Not confident,"Yes, recently",Very confident,Open and read carefully,Sometimes,Rarely,Occasionally,Rarely,Rarely,Very confident,Not sure,Helpful,Rarely,Live training sessions,Not effective,Rarely,Very relevant,Somewhat,Never,No,Neutral,Not useful,Neutral
Never,No,Confident,Not sure,Very confident,Report it to IT,Sometimes,Most of the time,Occasionally,Monthly,Never,Very confident,Never,Helpful,Most of the time,Live training sessions,Neutral,Rarely,Not relevant,No,Rarely,Rarely,Not effective,Useful,"Yes, somewhat"
Often,Not sure what a password manager is,Not confident at all,"Yes, recently",Somewhat confident,Consult a colleague,Rarely,Sometimes,Rarely,Monthly,Rarely,Confident,Not sure,Not helpful at all,Always,Simulations,Very effective,"Yes, always",Somewhat relevant,Neutral,"Yes, frequently",Rarely,Effective,Not useful,"Yes, significantly"
Often,Not sure what a password manager is,Not confident at all,"Yes, recently",Not confident,Report it to IT,Never,Sometimes,"Yes, frequently",Every week,"Yes, manually",Not confident,Rarely,Neutral,Most of the time,Live training sessions,Not effective,Sometimes,Somewhat relevant,Somewhat,Rarely,Sometimes,"Yes, highly effective",Very useful,Neutral
Often,Not sure what a password manager is,Neutral,"Yes, but a long time ago",Neutral,Report it to IT,Always,Never,Occasionally,Every week,Never,Very confident,"Yes, frequently",Neutral,Always,Simulations,Not effective,"Yes, always",Neutral,Neutral,Never,"Yes, always",Not effective,Neutral,"Yes, somewhat"
Often,Yes,Neutral,Not sure,Very confident,Open and read carefully,Sometimes,Most of the time,Occasionally,Occasionally,"Yes, manually",Not confident,Rarely,Very helpful,Sometimes,Quizzes,Not effective,"Yes, always",Not relevant,No,Rarely,No,Neutral,Neutral,"Yes, somewhat"
Always,Yes,Not confident,"Yes, recently",Very confident,Delete it immediately,Never,Never,Rarely,Every week,Never,Neutral,Never,Not helpful at all,Sometimes,Videos,Very effective,Rarely,Somewhat relevant,"Yes, significantly","Yes, frequently",No,Neutral,Neutral,Neutral
Rarely,No,Not confident,"No, never",Neutral,Open and read carefully,Rarely,"Yes, always",Occasionally,Every week,Sometimes,Confident,Not sure,Neutral,Sometimes,Simulations,Very effective,No,Somewhat relevant,"Yes, significantly",Sometimes,"Yes, always",Not effective,Very useful,Neutral
Sometimes,No,Neutral,"Yes, but a long time ago",Very confident,Open and read carefully,Always,"Yes, always",Occasionally,Monthly,Sometimes,Neutral,Never,Neutral,Sometimes,Videos,Effective,Rarely,Not relevant,Neutral,"Yes, frequently",Sometimes,Not effective,Very useful,"Yes, somewhat"
Rarely,No,Confident,"Yes, recently",Very confident,Report it to IT,Often,Most of the time,"No, never",Monthly,Sometimes,Confident,Never,Helpful,Most of the time,Videos,Not effective,No,Somewhat relevant,"Yes, significantly",Sometimes,No,"Yes, highly effective",Not useful,Neutral
Often,No,Confident,"Yes, recently",Not confident,Report it to IT,Sometimes,"Yes, always",Occasionally,Never,"Yes, automatically",Neutral,Never,Not very helpful,Always,Simulations,Very effective,Rarely,Not relevant,"Yes, significantly",Sometimes,"Yes, always",Effective,Neutral,"Yes, significantly"
Often,Yes,Confident,"Yes, recently",Somewhat confident,Report it to IT,Often,"Yes, always","Yes, frequently",Every week,"Yes, automatically",Confident,Never,Not very helpful,Most of the time,Videos,Effective,No,Somewhat relevant,"Yes, significantly",Rarely,No,Not effective,Neutral,"Yes, somewhat"
Rarely,Not sure what a password manager is,Not confident at all,Not sure,Not confident,Open and read carefully,Rarely,Rarely,Rarely,Rarely,"Yes, manually",Confident,Rarely,Neutral,Sometimes,Quizzes,Effective,No,Not relevant,Neutral,Rarely,Rarely,"Yes, highly effective",Neutral,"Yes, significantly"
Sometimes,Not sure what a password manager is,Confident,"Yes, recently",Very confident,Consult a colleague,Sometimes,Never,"No, never",Occasionally,Never,Very confident,Rarely,Not very helpful,Rarely,Quizzes,Effective,Rarely,Neutral,Somewhat,"Yes, frequently",Sometimes,Effective,Very useful,No
Never,Yes,Confident,"Yes, but a long time ago",Neutral,Consult a colleague,Never,Rarely,"No, never",Occasionally,Never,Neutral,Not sure,Helpful,Most of the time,Simulations,Effective,Sometimes,Not relevant,No,"Yes, frequently",No,"Yes, highly effective",Not useful,Neutral
Always,No,Confident,"No, never",Very confident,Report it to IT,Sometimes,Rarely,Occasionally,Every week,Sometimes,Confident,Not sure,Very helpful,Always,Videos,Neutral,No,Very relevant,"Yes, significantly",Sometimes,No,Neutral,Useful,"Yes, somewhat"
Always,Yes,Not confident at all,"No, never",Very confident,Open and read carefully,Often,Most of the time,"Yes, frequently",Never,"Yes, automatically",Confident,Not sure,Helpful,Always,Simulations,Not effective,Rarely,Not relevant,"Yes, significantly",Rarely,Sometimes,Neutral,Neutral,"Yes, significantly"
Rarely,No,Confident,"Yes, but a long time ago",Not confident,Open and read carefully,Rarely,Never,"Yes, frequently",Never,Sometimes,Neutral,Rarely,Not very helpful,Sometimes,Quizzes,Not effective,"Yes, always",Neutral,"Yes, significantly",Sometimes,Sometimes,"Yes, highly effective",Not useful,"Yes, somewhat"
Often,Yes,Confident,"Yes, recently",Neutral,Consult a colleague,Sometimes,Rarely,Occasionally,Monthly,Sometimes,Very confident,"Yes, frequently",Not helpful at all,Most of the time,Quizzes,Very effective,No,Neutral,No,"Yes, frequently",No,Effective,Very useful,Neutral
Sometimes,Not sure what a password manager is,Very confident,"Yes, recently",Not confident,Open and read carefully,Sometimes,Sometimes,Occasionally,Occasionally,Rarely,Confident,"Yes, frequently",Neutral,Always,Live training sessions,Very effective,Sometimes,Not relevant,Somewhat,Never,Rarely,Effective,Very useful,Neutral
Often,Not sure what a password manager is,Very confident,"Yes, recently",Very confident,Open and read carefully,Rarely,Most of the time,Rarely,Every week,"Yes, manually",Not confident,Rarely,Not very helpful,Most of the time,Quizzes,Not effective,No,Neutral,"Yes, significantly",Never,Rarely,Effective,Not useful,No
Always,Yes,Confident,"Yes, recently",Somewhat confident,Open and read carefully,Sometimes,"Yes, always",Occasionally,Occasionally,Rarely,Very confident,Never,Not helpful at all,Sometimes,Simulations,Effective,"Yes, always",Not relevant,No,Rarely,Rarely,Neutral,Not useful,No
Sometimes,Yes,Confident,Not sure,Neutral,Report it to IT,Never,Most of the time,"No, never",Never,Rarely,Not confident,Not sure,Not helpful at all,Always,Videos,Very effective,No,Very relevant,Neutral,Sometimes,"Yes, always","Yes, highly effective",Very useful,No
Often,Not sure what a password manager is,Not confident at all,"No, never",Very confident,Report it to IT,Never,Sometimes,Rarely,Never,"Yes, automatically",Confident,Occasionally,Not very helpful,Sometimes,Videos,Not effective,No,Neutral,No,Rarely,No,Effective,Not useful,"Yes, somewhat"
Sometimes,No,Neutral,"Yes, recently",Neutral,Consult a colleague,Sometimes,Sometimes,Rarely,Occasionally,"Yes, manually",Not confident,Never,Not helpful at all,Rarely,Simulations,Effective,Rarely,Very relevant,No,Rarely,Sometimes,Not effective,Useful,Neutral
Never,Not sure what a password manager is,Very confident,Not sure,Neutral,Report it to IT,Never,"Yes, always",Rarely,Monthly,"Yes, automatically",Not confident,"Yes, frequently",Neutral,Most of the time,Simulations,Neutral,"Yes, always",Neutral,No,Rarely,Sometimes,Neutral,Useful,No
Often,Yes,Neutral,"Yes, recently",Very confident,Report it to IT,Often,Never,Rarely,Every week,"Yes, automatically",Confident,Not sure,Not helpful at all,Most of the time,Quizzes,Neutral,No,Somewhat relevant,"Yes, significantly",Sometimes,No,Neutral,Useful,Neutral
Rarely,No,Neutral,"Yes, recently",Neutral,Report it to IT,Rarely,"Yes, always","Yes, frequently",Never,Never,Very confident,Rarely,Neutral,Sometimes,Simulations,Very effective,Rarely,Neutral,"Yes, significantly",Rarely,"Yes, always",Neutral,Not useful,"Yes, significantly"
Never,No,Not confident,"No, never",Neutral,Open and read carefully,Never,Never,"Yes, frequently",Never,Sometimes,Confident,Never,Very helpful,Sometimes,Simulations,Neutral,No,Not relevant,Somewhat,Never,"Yes, always",Neutral,Very useful,"Yes, significantly"
Rarely,No,Not confident at all,"No, never",Neutral,Consult a colleague,Always,Never,Rarely,Occasionally,Rarely,Confident,Occasionally,Helpful,Rarely,Live training sessions,Not effective,Rarely,Somewhat relevant,Neutral,Never,"Yes, always",Neutral,Neutral,"Yes, significantly"
Often,Not sure what a password manager is,Neutral,"Yes, recently",Very confident,Consult a colleague,Rarely,Rarely,"Yes, frequently",Occasionally,Sometimes,Neutral,Occasionally,Helpful,Always,Quizzes,Not effective,Sometimes,Somewhat relevant,"Yes, significantly",Never,Sometimes,"Yes, highly effective",Not useful,"Yes, significantly"
Often,Yes,Not confident,"Yes, recently",Neutral,Consult a colleague,Never,"Yes, always","Yes, frequently",Every week,Sometimes,Not confident,Rarely,Not helpful at all,Most of the time,Videos,Effective,"Yes, always",Neutral,No,Sometimes,Sometimes,Neutral,Neutral,"Yes, somewhat"
Never,No,Confident,"Yes, but a long time ago",Neutral,Report it to IT,Always,Most of the time,"Yes, frequently",Occasionally,Sometimes,Confident,Occasionally,Neutral,Always,Quizzes,Effective,Rarely,Somewhat relevant,"Yes, significantly","Yes, frequently",Rarely,"Yes, highly effective",Not useful,Neutral
Often,Yes,Confident,Not sure,Very confident,Open and read carefully,Always,Never,Occasionally,Occasionally,Rarely,Neutral,Rarely,Helpful,Never,Simulations,Neutral,Rarely,Very relevant,"Yes, significantly",Rarely,Rarely,"Yes, highly effective",Neutral,"Yes, somewhat"
Often,Not sure what a password manager is,Not confident at all,Not sure,Somewhat confident,Consult a colleague,Always,Most of the time,Occasionally,Occasionally,Never,Very confident,Not sure,Not very helpful,Sometimes,Live training sessions,Not effective,Rarely,Neutral,Neutral,"Yes, frequently","Yes, always",Effective,Very useful,"Yes, significantly"
Sometimes,Yes,Confident,"Yes, but a long time ago",Somewhat confident,Consult a colleague,Rarely,Sometimes,Rarely,Occasionally,Rarely,Very confident,Never,Helpful,Never,Quizzes,Neutral,Sometimes,Very relevant,Neutral,Sometimes,Rarely,Neutral,Not useful,"Yes, somewhat"
Never,Not sure what a password manager is,Not confident,"Yes, but a long time ago",Very confident,Open and read carefully,Never,Rarely,"No, never",Occasionally,Never,Confident,Occasionally,Neutral,Sometimes,Simulations,Not effective,No,Not relevant,No,Never,"Yes, always",Neutral,Not useful,"Yes, somewhat"
Rarely,Yes,Very confident,"Yes, but a long time ago",Not confident,Consult a colleague,Rarely,Sometimes,"No, never",Rarely,"Yes, automatically",Confident,Never,Helpful,Sometimes,Videos,Very effective,"Yes, always",Very relevant,Somewhat,"Yes, frequently",No,"Yes, highly effective",Neutral,"Yes, somewhat"
Rarely,Yes,Not confident at all,Not sure,Neutral,Delete it immediately,Rarely,Sometimes,"Yes, frequently",Rarely,Sometimes,Confident,"Yes, frequently",Helpful,Always,Simulations,Very effective,"Yes, always",Not relevant,Neutral,"Yes, frequently",Sometimes,Effective,Useful,"Yes, significantly"
Rarely,Not sure what a password manager is,Very confident,Not sure,Somewhat confident,Report it to IT,Always,Most of the time,"Yes, frequently",Never,"Yes, automatically",Confident,"Yes, frequently",Not very helpful,Never,Videos,Very effective,"Yes, always",Neutral,Somewhat,"Yes, frequently",Sometimes,Neutral,Neutral,"Yes, somewhat"
Sometimes,Not sure what a password manager is,Not confident at all,"No, never",Not confident,Delete it immediately,Rarely,Sometimes,Rarely,Monthly,Rarely,Very confident,Never,Not very helpful,Sometimes,Quizzes,Not effective,No,Neutral,Somewhat,Rarely,No,Not effective,Very useful,No
Never,Not sure what a password manager is,Confident,"Yes, but a long time ago",Not confident,Consult a colleague,Never,Never,"No, never",Rarely,"Yes, manually",Very confident,Not sure,Not very helpful,Most of the time,Live training sessions,Very effective,"Yes, always",Very relevant,"Yes, significantly","Yes, frequently","Yes, always",Effective,Useful,"Yes, significantly"
Often,Not sure what a password manager is,Very confident,"No, never",Not confident,Open and read carefully,Rarely,"Yes, always",Rarely,Rarely,"Yes, manually",Confident,Never,Not very helpful,Always,Quizzes,Neutral,Sometimes,Somewhat relevant,Somewhat,"Yes, frequently",No,Neutral,Neutral,Neutral
Never,No,Not confident at all,"Yes, recently",Neutral,Consult a colleague,Rarely,Sometimes,Rarely,Never,Rarely,Confident,Not sure,Not helpful at all,Most of the time,Live training sessions,Very effective,Rarely,Not relevant,Somewhat,Rarely,Rarely,Not effective,Useful,"Yes, significantly"
Often,Yes,Neutral,"Yes, recently",Not confident,Open and read carefully,Often,Rarely,"No, never",Monthly,Never,Confident,Rarely,Not helpful at all,Sometimes,Quizzes,Very effective,Sometimes,Not relevant,Neutral,Never,Rarely,Effective,Neutral,"Yes, significantly"
Rarely,No,Not confident,"No, never",Neutral,Open and read carefully,Never,Sometimes,Rarely,Monthly,"Yes, automatically",Confident,Never,Not very helpful,Most of the time,Videos,Effective,Rarely,Not relevant,Somewhat,Rarely,No,Effective,Neutral,"Yes, somewhat"
Often,Yes,Not confident,"Yes, recently",Neutral,Report it to IT,Rarely,Sometimes,"Yes, frequently",Occasionally,"Yes, automatically",Confident,Not sure,Not helpful at all,Always,Quizzes,Not effective,Rarely,Neutral,"Yes, significantly",Never,Sometimes,Neutral,Useful,"Yes, significantly"
Never,No,Not confident,Not sure,Neutral,Report it to IT,Never,Rarely,"Yes, frequently",Occasionally,Never,Confident,Never,Not helpful at all,Sometimes,Videos,Effective,No,Very relevant,No,Sometimes,Rarely,Not effective,Neutral,"Yes, somewhat"
Often,Yes,Not confident,Not sure,Somewhat confident,Open and read carefully,Sometimes,Rarely,"Yes, frequently",Rarely,Never,Not confident,"Yes, frequently",Not helpful at all,Most of the time,Videos,Not effective,"Yes, always",Not relevant,Neutral,Sometimes,Rarely,Not effective,Not useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Not confident,Not sure,Not confident,Delete it immediately,Never,"Yes, always",Rarely,Every week,"Yes, automatically",Not confident,Not sure,Helpful,Always,Videos,Effective,No,Somewhat relevant,Somewhat,Rarely,Rarely,Neutral,Neutral,"Yes, somewhat"
Always,No,Very confident,Not sure,Not confident,Report it to IT,Always,Most of the time,"Yes, frequently",Never,"Yes, automatically",Very confident,Occasionally,Not helpful at all,Rarely,Quizzes,Not effective,No,Not relevant,No,Rarely,"Yes, always",Not effective,Useful,"Yes, significantly"
Often,No,Neutral,"Yes, recently",Very confident,Report it to IT,Always,Sometimes,Rarely,Occasionally,Never,Confident,Occasionally,Neutral,Rarely,Videos,Effective,"Yes, always",Not relevant,"Yes, significantly",Rarely,Rarely,"Yes, highly effective",Very useful,Neutral
Rarely,No,Very confident,"Yes, recently",Not confident,Open and read carefully,Sometimes,Sometimes,Occasionally,Occasionally,Sometimes,Neutral,Never,Neutral,Most of the time,Live training sessions,Effective,"Yes, always",Very relevant,Neutral,Rarely,Sometimes,Effective,Very useful,"Yes, significantly"
Rarely,No,Confident,"Yes, recently",Neutral,Consult a colleague,Always,Sometimes,Occasionally,Never,Never,Very confident,Rarely,Helpful,Most of the time,Simulations,Very effective,Sometimes,Somewhat relevant,Neutral,Never,"Yes, always",Neutral,Useful,Neutral
Never,Not sure what a password manager is,Not confident,"No, never",Not confident,Open and read carefully,Rarely,Rarely,Rarely,Never,Sometimes,Confident,"Yes, frequently",Not very helpful,Sometimes,Simulations,Very effective,No,Neutral,No,Sometimes,Rarely,"Yes, highly effective",Neutral,"Yes, somewhat"
Rarely,Not sure what a password manager is,Not confident at all,"Yes, but a long time ago",Not confident,Report it to IT,Rarely,Rarely,Rarely,Occasionally,Never,Confident,"Yes, frequently",Very helpful,Most of the time,Live training sessions,Neutral,Rarely,Somewhat relevant,Neutral,Rarely,"Yes, always",Neutral,Not useful,No
Never,No,Not confident,"Yes, recently",Somewhat confident,Consult a colleague,Often,Most of the time,Rarely,Monthly,Sometimes,Not confident,Not sure,Not helpful at all,Always,Simulations,Neutral,Rarely,Not relevant,Neutral,"Yes, frequently","Yes, always",Effective,Not useful,"Yes, somewhat"
Sometimes,No,Not confident at all,"No, never",Not confident,Open and read carefully,Sometimes,Most of the time,"No, never",Rarely,Never,Confident,Not sure,Not very helpful,Always,Live training sessions,Very effective,Rarely,Neutral,No,"Yes, frequently",No,Not effective,Very useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Very confident,Not sure,Neutral,Open and read carefully,Rarely,Rarely,"No, never",Occasionally,Rarely,Very confident,"Yes, frequently",Helpful,Sometimes,Videos,Not effective,"Yes, always",Not relevant,No,Sometimes,Rarely,Neutral,Very useful,"Yes, significantly"
Rarely,Yes,Not confident at all,"Yes, recently",Very confident,Consult a colleague,Often,Rarely,"No, never",Rarely,Never,Not confident,Rarely,Helpful,Always,Videos,Neutral,"Yes, always",Very relevant,Somewhat,Sometimes,Rarely,Not effective,Very useful,"Yes, significantly"
Sometimes,No,Not confident,"Yes, recently",Not confident,Open and read carefully,Rarely,Never,Occasionally,Every week,Sometimes,Confident,Not sure,Not helpful at all,Sometimes,Live training sessions,Neutral,No,Neutral,Somewhat,Rarely,Sometimes,Not effective,Very useful,No
Rarely,No,Neutral,"Yes, recently",Somewhat confident,Consult a colleague,Sometimes,Sometimes,"Yes, frequently",Never,"Yes, automatically",Very confident,Rarely,Helpful,Sometimes,Quizzes,Not effective,Sometimes,Somewhat relevant,"Yes, significantly",Never,No,Effective,Neutral,Neutral
Always,Not sure what a password manager is,Confident,Not sure,Neutral,Consult a colleague,Rarely,Never,Rarely,Occasionally,Sometimes,Very confident,Rarely,Very helpful,Sometimes,Live training sessions,Effective,Rarely,Neutral,"Yes, significantly",Rarely,Sometimes,"Yes, highly effective",Neutral,"Yes, significantly"
Often,Not sure what a password manager is,Neutral,Not sure,Very confident,Open and read carefully,Never,Rarely,Occasionally,Every week,"Yes, manually",Confident,Never,Not very helpful,Always,Videos,Not effective,Rarely,Not relevant,Somewhat,Sometimes,Rarely,Neutral,Neutral,"Yes, somewhat"
Often,No,Not confident,"Yes, recently",Not confident,Open and read carefully,Rarely,Rarely,"Yes, frequently",Occasionally,"Yes, automatically",Confident,Never,Neutral,Most of the time,Live training sessions,Very effective,Rarely,Not relevant,Somewhat,"Yes, frequently",Sometimes,Not effective,Useful,No
Never,Not sure what a password manager is,Very confident,Not sure,Not confident,Consult a colleague,Sometimes,Rarely,Rarely,Rarely,Sometimes,Confident,Not sure,Very helpful,Sometimes,Simulations,Not effective,"Yes, always",Somewhat relevant,"Yes, significantly","Yes, frequently",Rarely,Neutral,Useful,No
Always,Not sure what a password manager is,Very confident,"Yes, recently",Neutral,Open and read carefully,Never,Sometimes,Rarely,Never,Sometimes,Very confident,Not sure,Neutral,Rarely,Quizzes,Not effective,"Yes, always",Very relevant,"Yes, significantly",Never,No,Not effective,Very useful,Neutral
